,country,city,parameter,avg_24h,pm10_aqi,pm25_aqi
0,GB,Newcastle,no2,46.6,0.0,0.0
1,GB,Richmond,pm25,2.283333333333333,0.0,9.51388888888889
2,FR,Marne,pm10,18.1038459447714,16.762820319232777,0.0
3,FR,Tarn,o3,75.56999931335449,0.0,0.0
4,FR,Deux-Sèvres,pm10,8.140909021550959,7.537878723658295,0.0
5,GB,Bury,no2,29.4,0.0,0.0
6,GB,Portsmouth,no2,13.6,0.0,0.0
7,GB,Harrow,pm10,10.215333449045817,9.458642082449831,0.0
8,FR,Vaucluse,no2,10.111111005147299,0.0,0.0
9,GB,Preston,no2,21.2,0.0,0.0
10,FR,Meuse,pm25,6.25,0.0,26.041666666666668
11,FR,Bas-Rhin,pm25,2.4699999928474425,0.0,10.291666636864345
12,GB,Chepstow,no2,46.0,0.0,0.0
13,FR,Alpes-Maritimes,no2,10.959999799728394,0.0,0.0
14,GB,Hillingdon,no2,9.811688302399276,0.0,0.0
15,FR,Hauts-de-Seine,pm25,4.083333333333333,0.0,17.01388888888889
16,FR,Yonne,pm10,10.45500009059906,9.680555639443575,0.0
17,GB,Leicester,no2,48.0,0.0,0.0
18,GB,Greenwich,pm10,10.918525864878498,10.109746171183795,0.0
19,FR,Indre-et-Loire,co,152.4,0.0,0.0
20,GB,Leamington Spa,no2,16.333333333333332,0.0,0.0
21,FR,Côte-d'Or,o3,66.38421149002879,0.0,0.0
22,GB,Eastbourne,no2,3.753846159348121,0.0,0.0
23,GB,Bradford,no2,37.4,0.0,0.0
24,FR,Rhône,no2,15.51777762307061,0.0,0.0
25,GB,Dumfries,no2,17.4,0.0,0.0
26,GB,Doncaster,no2,21.6,0.0,0.0
27,FR,Dordogne,o3,62.4100004196167,0.0,0.0
28,FR,Doubs,no2,8.813333384195964,0.0,0.0
29,FR,Hauts-de-Seine,no2,10.920000028610229,0.0,0.0
30,FR,Haute-Saône,o3,60.23333231608073,0.0,0.0
31,GB,Port Talbot,no2,10.4,0.0,0.0
32,GB,Willenhall,no2,7.6,0.0,0.0
33,FR,French Guiana,pm10,13.133333319709415,12.160493814545754,0.0
34,FR,Drôme,o3,61.78095245361328,0.0,0.0
35,FR,Manche,pm10,11.416666666666666,10.570987654320987,0.0
36,GB,Canterbury,no2,13.6,0.0,0.0
37,GB,Blackburn,no2,30.6,0.0,0.0
38,GB,Inverness,no2,13.2,0.0,0.0
39,FR,Nord,pm25,4.0076922717002725,0.0,16.698717798751137
40,FR,Aisne,pm25,5.1916667222976685,0.0,21.631944676240288
41,FR,Ille-et-Vilaine,pm25,4.799999986376081,0.0,19.99999994323367
42,FR,Saint-Leu,no2,8.400000005960464,0.0,0.0
43,GB,Ballymena,no2,14.0,0.0,0.0
44,GB,Islington,pm10,14.329729647249788,13.268268191897953,0.0
45,FR,Saint-Pierre,no2,13.01428576878139,0.0,0.0
46,FR,Seine-et-Marne,pm25,4.333333348234494,0.0,18.055555617643726
47,GB,Oldbury,no2,40.0,0.0,0.0
48,FR,Seine-Saint-Denis,pm25,10.172727238048207,0.0,42.386363491867534
49,FR,Dordogne,no2,6.4700000286102295,0.0,0.0
50,FR,Paris,no2,21.17765956229352,0.0,0.0
51,FR,Vienne,pm25,4.259999990463257,0.0,17.749999960263573
52,GB,Peebles,no2,5.0,0.0,0.0
53,FR,Rhône,pm10,8.786585377483833,8.13572720137392,0.0
54,GB,London,no2,22.08823529411765,0.0,0.0
55,GB,Crawley,no2,9.621794908474653,0.0,0.0
56,GB,Lambeth,no2,37.8761290642523,0.0,0.0
57,GB,Dartford,pm10,12.483783779917536,11.5590590554792,0.0
58,FR,Charente-Maritime,pm25,6.671428595270429,0.0,27.797619146960123
59,FR,Nord,co,208.5,0.0,0.0
60,FR,Alpes-de-Haute-Provence,pm10,4.950000047683716,4.583333377484922,0.0
61,FR,Saône-et-Loire,pm10,10.868750005960464,10.063657412926355,0.0
62,GB,Edinburgh,no2,13.6,0.0,0.0
63,GB,Scunthorpe,no2,19.0,0.0,0.0
64,FR,Moselle,pm10,12.550769285055308,11.621082671347507,0.0
65,FR,Moselle,o3,55.12439048581007,0.0,0.0
66,FR,Pyrénées-Atlantiques,pm25,4.493750020861626,0.0,18.723958420256775
67,GB,St Osyth,no2,4.4,0.0,0.0
68,GB,Kensington and Chelsea,pm25,3.0166666785875957,0.0,12.569444494114983
69,FR,Val-de-Marne,pm25,4.375000059604645,0.0,18.229166915019356
